Chromosome,Wide peak start,Wide peak end,amp/del,2q3,Wide Peak Limits,Peak Limits,Region Limits,q values,Residual q values after removing segments shared with higher peaks,Description with number,Description,Comment,Unnamed: 13,Deep Del,Shallow Del,Neutral,Low Gain,High Gain,% Deep Del,% Shallow Del,% Neutral,% Low Gain,% High Gain,n_genes,Genes
chr5,66419415,74667916,Del,5q13.1  ,chr5:66419415-74667916(probes 277604:279400)      ,chr5:67966110-68017852(probes 277885:277890)      ,chr5:45930998-123826216(probes 272587:292622)    ,2.17e-49,6.12e-14,5q13.1 [51],5q13.1,,,17,329,126,13,4,3.5%,67.3%,25.8%,2.7%,0.8%,51,"UTP15(0.65),ANKRA2(0.62),BTF3(0.62),RAD17(0.62),CDK7(0.60),MRPS27(0.60),PTCD2(0.60),TAF9(0.60),GFM2(0.58),SLC30A5(0.58),MRPS36(0.56),TNPO1(0.53),SMN1(0.49),MARVELD2(0.47),FCHO2(0.44),CCDC125(0.44),BDP1(0.43),RGNEF(0.41),OCLN(0.41),MCCC2(0.40),SERF1A(0.36),LOC653391(0.34),HEXB(0.34),MAST4(0.33),CENPH(0.33),CCNB1(0.30),GTF2H2(0.28),NAIP(0.27),MAP1B(0.26),TMEM171(0.26),ENC1(0.20),PIK3R1^(0.17),GCNT4(0.13),FOXD1(0.11),PMCHL2(0.08),CARTPT(0.06),TMEM174(-0.01),CD180(-0.01),ZNF366(-0.02),SMN2(NA),NSA2(NA),FAM169A(NA),ANKRD31(NA),LOC647859(NA),GUSBP3(NA),GTF2H2B(NA),GTF2H2C(NA),SERF1B(NA),GTF2H2D(NA),LOC100170939(NA),LOC100272216(NA),"
chr5,72837342,91535142,Del,5q14.3  ,chr5:72837342-91535142(probes 278824:284526)      ,chr5:84881163-84958055(probes 282952:282962)      ,chr5:45930998-123826216(probes 272587:292622)    ,2.8300000000000002e-36,0.00014387,---,---,,,18,324,127,19,1,3.7%,66.3%,26.0%,3.9%,0.2%,80,"MSH3(0.69),UTP15(0.65),COX7C(0.65),ANKRA2(0.62),ZCCHC9(0.61),TMEM161B(0.61),CCNH(0.61),SCAMP1(0.60),AGGF1(0.60),TBCA(0.59),GFM2(0.58),ZFYVE16(0.56),WDR41(0.55),PAPD4(0.54),POLK(0.54),AP3B1(0.54),CETN3(0.52),LYSMD3(0.51),MTX3(0.50),XRCC4(0.50),RASA1(0.49),POLR3G(0.49),RPS23(0.48),ATG10(0.47),JMY(0.47),SSBP2(0.46),HMGCR(0.45),ARRDC3(0.45),COL4A3BP(0.44),RGNEF(0.41),HOMER1(0.41),DHFR(0.41),ZBED3(0.38),F2RL1(0.37),SERINC5(0.35),HEXB(0.34),CKMT2(0.32),ARSB(0.20),ENC1(0.20),GPR98(0.19),CMYA5(0.17),IQGAP2(0.15),DMGDH(0.15),PDE8B(0.14),F2R(0.14),GCNT4(0.13),SV2C(0.12),BHMT(0.12),THBS4(0.11),F2RL2(0.10),SPZ1(0.09),NBPF22P(0.09),ACOT12(0.09),LHFPL2(0.08),RASGRF2(0.07),EDIL3(0.05),S100Z(0.04),MEF2C(0.03),CRHBP(0.02),HAPLN1(0.02),BHMT2(0.01),OTP(-0.01),VCAN(-0.02),NSA2(NA),FAM169A(NA),ATP6AP1L(NA),C5orf37(NA),TMEM167A(NA),MBLAC2(NA),FAM151B(NA),ANKRD31(NA),ANKRD34B(NA),LOC441089(NA),LOC644936(NA),LOC645323(NA),SCARNA18(NA),SNORA47(NA),LOC728723(NA),LOC100129716(NA),NCRUPAR(NA),"
chr5,157456144,174032432,Del,5q34    ,chr5:157456144-174032432(probes 303979:309011)  ,chr5:162286023-162301534(probes 305422:305422)  ,chr5:161590666-167920899(probes 305308:306732)  ,0.012106,0.012106,---,---,,,5,188,204,86,6,1.0%,38.4%,41.7%,17.6%,1.2%,69,"SLU7(0.70),TTC1(0.65),RARS(0.64),ERGIC1(0.60),NPM1(0.59),FBXW11(0.59),UBLCP1(0.56),NUDCD2(0.55),ATP6V0E1(0.53),MAT2B(0.53),RPL26L1(0.51),WWC1(0.49),PANK3(0.47),CCNG1(0.46),UBTD2(0.43),RNF145(0.41),CCDC99(0.38),CPEB4(0.38),BNIP1(0.37),RANBP17(0.37),SH3PXD2B(0.35),HMMR(0.31),PTTG1(0.30),STC2(0.29),ODZ2(0.26),GABRP(0.25),STK10(0.25),ADRA1B(0.24),C1QTNF2(0.22),DUSP1(0.20),HMP19(0.19),ATP10B(0.19),FGF18(0.19),CCNJL(0.18),SLIT3(0.16),EBF1(0.15),FOXI1(0.13),FABP6(0.11),GABRB2(0.10),KCNIP1(0.10),GABRA6(0.10),TLX3(0.09),NKX2-5(0.08),GABRG2(0.06),IL12B(0.06),KCNMB1(0.06),LCP2(0.03),GABRA1(0.02),DOCK2(0.02),NEURL1B(NA),C5orf54(NA),BOD1(NA),PWWP2A(NA),C5orf47(NA),C5orf58(NA),C5orf41(NA),LOC257358(NA),LOC285593(NA),LOC285627(NA),LOC285629(NA),FBLL1(NA),MIR103-1(NA),MIR146A(NA),MIR218-2(NA),SNORA74B(NA),MIR548D2(NA),MIR585(NA),FAM196B(NA),LOC100268168(NA),"
chr5,98113022,128318712,Del,5q23.1  ,chr5:98113022-128318712(probes 286497:293820)    ,chr5:115836234-115941818(probes 290792:290842)  ,chr5:45930998-123826216(probes 272587:292622)    ,1.84e-06,0.020578,---,---,,,10,259,174,45,1,2.0%,53.0%,35.6%,9.2%,0.2%,82,"YTHDC2(0.63),REEP5(0.62),WDR36(0.62),HSD17B4(0.62),ATG12(0.62),PRRC1(0.61),AP3S1(0.60),CHD1(0.60),APC(0.59),DMXL1(0.59),CSNK1G3(0.59),SRP19(0.58),SRFBP1(0.58),HISPPD1(0.57),DCP2(0.56),PJA2(0.55),TMED7(0.54),SNX2(0.53),FEM1C(0.52),GIN1(0.52),EPB41L4A(0.52),SNX24(0.51),CCDC112(0.50),ALDH7A1(0.48),SLC25A46(0.47),RGMB(0.47),GRAMD3(0.45),DTWD2(0.44),NUDT12(0.42),EFNA5(0.40),FER(0.39),SLC12A2(0.36),PGGT1B(0.35),COMMD10(0.34),MAN2A1(0.34),TNFAIP8(0.31),PAM(0.28),LMNB1(0.27),STARD4(0.27),TICAM2(0.26),PPIC(0.25),MCC(0.24),ZNF474(0.22),ZNF608(0.22),TSLP(0.21),KCNN2(0.20),SEMA6A(0.19),TRIM36(0.19),SLCO6A1(0.18),SLCO4C1(0.15),PRR16(0.15),MARCH3(0.13),FLJ11235(0.11),CAMK4(0.11),FBXL17(0.11),LOX(0.10),SNCAIP(0.08),ST8SIA4(0.06),FBN2(0.06),MEGF10(0.06),TSSK1B(0.03),FTMT(0.01),CTXN3(-0.00),CDO1(-0.03),C5orf13(NA),RAB9P1(NA),PHAX(NA),C5orf30(NA),PRDM6(NA),C5orf26(NA),CEP120(NA),LVRN(NA),FAM170A(NA),FAM174A(NA),C5orf48(NA),FLJ44606(NA),TMEM232(NA),FLJ33630(NA),SNORA13(NA),MIR548C(NA),LOC100133050(NA),TMED7-TICAM2(NA),"
chr6,5792712,23968000,Amp,6p22.3  ,chr6:5792712-23968000(probes 312924:318377)        ,chr6:18582849-18608340(probes 316955:316959)      ,chr6:1-24572083(probes 311111:318580)               ,5.54e-06,6.12e-06,6p22.3(ID4) [70],6p22.3(ID4),,,0,78,166,210,35,0.0%,16.0%,33.9%,42.9%,7.2%,70,"NOL7(0.73),RIOK1(0.72),PAK1IP1(0.70),NUP153(0.68),SSR1(0.66),DTNBP1(0.66),MUTED(0.65),E2F3|(0.64),RANBP9(0.62),EEF1E1(0.61),TMEM14C(0.61),DEK(0.59),FAM8A1(0.59),CCDC90A(0.58),SIRT5(0.57),TMEM14B(0.54),DSP(0.53),KIF13A(0.53),JARID2(0.53),CDKAL1(0.52),MYLIP(0.52),TBC1D7(0.52),TXNDC5(0.51),SLC35B3(0.46),HIVEP1(0.44),CAP2(0.43),MBOAT1(0.41),TPMT(0.39),ATXN1(0.36),NHLRC1(0.36),SOX4(0.32),ID4(0.29),RREB1(0.28),RNF144B(0.28),GMPR(0.27),NEDD9(0.25),CD83(0.25),GFOD1(0.25),GCNT2(0.24),SYCP2L(0.22),MAK(0.21),TFAP2A(0.17),RBM24(0.15),EDN1(0.14),BMP6(0.13),ELOVL2(0.13),PHACTR1(0.13),RNF182(0.11),HERV-FRD(0.10),PRL(0.07),MGC26597(0.04),LY86(0.04),GCM2(0.02),CAGE1(0.00),HDGFL1(-0.00),F13A1(-0.00),NRN1(-0.06),C6orf105(NA),C6orf114(NA),SNRNP48(NA),KDM1B(NA),LOC221710(NA),C6orf218(NA),LOC285780(NA),C6orf52(NA),FLJ22536(NA),MIR548A1(NA),HULC(NA),TMEM170B(NA),SCARNA27(NA),"
chr6,107028442,107428188,Amp,6q21    ,chr6:107028442-107428188(probes 341523:341665)  ,chr6:107166161-107216010(probes 341568:341587)  ,chr6:106959078-107489432(probes 341493:341690)  ,0.0079469,0.0079469,6q21 [4],6q21,,,2,251,136,84,16,0.4%,51.3%,27.8%,17.2%,3.3%,4,"RTN4IP1(0.67),QRSL1(0.67),AIM1(0.35),LOC553137(NA),"
chr6,36478069,50112006,Amp,6p21.1  ,chr6:36478069-50112006(probes 322377:327343)      ,chr6:43179019-43186535(probes 325014:325016)      ,chr6:42761725-43769233(probes 324878:325279)      ,0.036971,0.04048,---,---,,,1,101,202,170,15,0.2%,20.7%,41.3%,34.8%,3.1%,149,"BYSL(0.71),MEA1(0.71),CDC5L(0.70),XPO5(0.69),ZNF318(0.68),TBC1D22B(0.67),RPL7L1(0.67),UBR2(0.66),GTPBP2(0.66),PPP2R5D(0.66),TJAP1(0.66),RNF8(0.65),MUT(0.65),MRPS10(0.64),KLHDC3(0.64),MED20(0.64),KLC4(0.64),TAF8(0.63),YIPF3(0.62),AARS2(0.61),POLR1C(0.61),MRPS18A(0.60),STK38(0.60),MRPL2(0.59),ZFAND3(0.59),KCTD20(0.58),CUL7(0.58),BTBD9(0.57),PPIL1(0.57),MTCH1(0.56),MAD2L1BP(0.56),MRPL14(0.56),TBCC(0.55),CD2AP(0.55),SLC35B2(0.55),GLO1(0.55),CENPQ(0.54),HSP90AB1(0.54),NFYA(0.52),KIAA0240(0.52),ABCC10(0.52),SLC29A1(0.50),TMEM63B(0.50),FRS3(0.50),SUPT3H(0.49),SRF(0.47),POLH(0.47),PTK7(0.46),ENPP4(0.45),FOXP4(0.43),USP49(0.42),KCNK5(0.41),ENPP5(0.40),CCND3(0.36),PEX6(0.33),NFKBIE(0.33),SLC25A27(0.31),UNC5CL(0.30),TRERF1(0.28),PIM1(0.28),TNFRSF21(0.27),VEGFA(0.27),SFRS3(0.26),GNMT(0.25),MOCS1(0.24),CRIP3(0.23),GUCA1B(0.23),DAAM2(0.20),TFEB(0.19),APOBEC2(0.18),GPR110(0.18),MDFI(0.17),MDGA1(0.17),TREML2(0.15),DNAH8(0.14),CYP39A1(0.14),KCNK17(0.14),CPNE5(0.14),KIF6(0.14),DLK2(0.12),PRPH2(0.12),CDKN1A(0.12),CLIC5(0.11),GPR115(0.11),RCAN2(0.10),SPATS1(0.09),PLA2G7(0.08),CRISP3(0.08),GPR111(0.07),DEFB114(0.06),CRISP2(0.06),MEP1A(0.06),LRFN2(0.05),GLP1R(0.05),FGD2(0.04),OPN5(0.04),PI16(0.03),TDRD6(0.02),TCTE1(0.01),CRISP1(0.01),GPR116(0.01),RUNX2(0.01),PGK2(0.00),PXT1(-0.01),NCR2(-0.01),GUCA1A(-0.01),RHAG(-0.02),TREML1(-0.03),TTBK1(-0.04),PTCRA(-0.05),PGC(-0.05),SLC22A7(-0.05),TREM1(-0.06),CAPN11(-0.07),TREML4(-0.07),KCNK16(-0.10),TREM2(-0.10),C6orf108(NA),CNPY3(NA),FTSJD2(NA),CUL9(NA),PRICKLE4(NA),C6orf64(NA),C6orf153(NA),C6orf141(NA),C6orf129(NA),C6orf223(NA),RSPH9(NA),C6orf154(NA),TREML2P(NA),LOC221442(NA),C6orf130(NA),TMEM217(NA),C6orf89(NA),TSPO2(NA),DEFB110(NA),DEFB113(NA),TREML3(NA),C6orf140(NA),DEFB133(NA),C6orf226(NA),TMEM151B(NA),C6orf138(NA),C6orf132(NA),MIR586(NA),TDRG1(NA),LOC100132354(NA),TOMM6(NA),LOC100287718(NA),"
chr6,162134880,170899992,Del,6q27    ,chr6:162134880-170899992(probes 359877:362319)  ,chr6:170219262-170224890(probes 362135:362135)  ,chr6:134414858-170899992(probes 350735:362319)  ,2.58e-19,2.58e-19,6q27 [43],6q27,,,7,313,108,58,3,1.4%,64.0%,22.1%,11.9%,0.6%,43,"FAM120B(0.75),TBP(0.75),PDCD2(0.67),PSMB1(0.64),FGFR1OP(0.60),PHF10(0.57),SFT2D1(0.52),MLLT4(0.51),WDR27(0.46),BRP44L(0.45),QKI(0.41),PARK2(0.32),RNASET2(0.31),TCTE3(0.30),RPS6KA2*(0.29),PACRG(0.25),CCR6(0.15),DLL1(0.14),TTLL2(0.07),KIF25(0.06),UNC93A(0.05),PDE10A(0.04),DACT2(0.03),LOC441177(-0.00),TCP10(-0.01),FRMD1(-0.01),PRR18(-0.03),SMOC2(-0.04),T(-0.05),GPR31(-0.05),THBS2(-0.12),C6orf123(NA),C6orf70(NA),C6orf208(NA),C6orf176(NA),LOC154449(NA),C6orf118(NA),LOC285796(NA),C6orf120(NA),TCP10L2(NA),C6orf122(NA),C6orf124(NA),HGC6.3(NA),"
chr6,57457872,58401277,Del,6p11.2  ,chr6:57457872-58401277(probes 329954:330024)      ,chr6:57504906-57519604(probes 329973:329976)      ,chr6:57405487-58476526(probes 329934:330026)      ,8.86e-05,0.00010741,PRIM2 [2],PRIM2,,,11,179,143,142,14,2.2%,36.6%,29.2%,29.0%,2.9%,2,"PRIM2(0.36),GUSBL2(NA),"
chr6,92485304,127156139,Del,6q21    ,chr6:92485304-127156139(probes 338134:348005)    ,chr6:109168416-109214161(probes 342372:342390)  ,chr6:108766143-110752086(probes 342237:343002)  ,0.031102,0.037481,---,---,,,2,252,141,83,11,0.4%,51.5%,28.8%,17.0%,2.2%,131,"PREP(0.73),CDC40(0.71),ZBTB24(0.70),KIAA0776(0.69),PDSS2(0.68),ATG5(0.68),RTN4IP1(0.67),QRSL1(0.67),SEC63(0.66),CDC2L6(0.66),HACE1(0.66),HDAC2(0.65),FIG4(0.64),KIAA1919(0.64),CD164(0.63),HSF2(0.62),ASCC3(0.62),GOPC(0.62),USP45(0.61),FBXL4(0.61),TRMT11(0.61),COQ3(0.59),GTF3C6(0.59),SFRS18(0.59),LACE1(0.58),CCNC(0.58),RWDD1(0.58),HDDC2(0.58),FOXO3(0.57),MANEA(0.57),NT5DC1(0.57),HINT3(0.53),SNX3(0.53),WASF1(0.50),SERINC1(0.50),TSPYL1(0.49),RNF217(0.49),REV3L(0.49),KPNA5(0.49),TUBE1(0.48),ARMC2(0.48),SMPD2(0.48),TSPYL4(0.47),TPD52L1(0.47),AMD1(0.46),KLHL32(0.45),MCM9(0.44),SESN1(0.44),FRK(0.44),TRAF3IP2(0.40),NUS1(0.40),NCOA7(0.39),OSTM1(0.37),AIM1(0.35),BVES(0.35),PPIL6(0.33),DCBLD1(0.31),HEY2(0.31),LIN28B(0.31),SLC16A10(0.31),FYN(0.27),MARCKS(0.27),MICAL1(0.26),SLC22A16(0.25),GJA1(0.24),POPDC3(0.23),PKIB(0.20),GPR63(0.20),DSE(0.19),EPHA7(0.17),DDO(0.17),TRDN(0.17),HS3ST5(0.16),SLC35F1(0.16),WISP3(0.16),GRIK2(0.15),SOBP(0.15),MAN1A1(0.14),ROS1(0.13),SMPDL3A(0.10),FUT9(0.10),FAM26D(0.10),LOC442245(0.07),FAM26F(0.06),FABP7(0.05),VGLL2(0.05),SIM1(0.04),LAMA4(0.04),MCHR2(0.03),PRDM13(0.03),FHL5(0.02),PRDM1(0.02),GPRC6A(0.00),PLN(0.00),RFPL4B(-0.00),FAM26E(-0.02),NR2E1(-0.05),COL10A1(-0.05),GPR6(-0.06),POU3F2(-0.07),SCML4(-0.10),STL(NA),BRD7P3(NA),ASF1A(NA),NDUFAF4(NA),C6orf203(NA),BEND3(NA),FAM184A(NA),RPF2(NA),C6orf168(NA),CLVS2(NA),NKAIN2(NA),C6orf185(NA),AKD1(NA),ZUFSP(NA),FAM162B(NA),C6orf170(NA),RFX6(NA),C6orf167(NA),C6orf182(NA),FLJ34503(NA),RSPH4A(NA),C6orf173(NA),C6orf204(NA),LOC553137(NA),C6orf225(NA),TSG1(NA),MIR548B(NA),LOC728402(NA),C6orf186(NA),BET3L(NA),"
chr7,141684869,142210398,Amp,7q34    ,chr7:141684869-142210398(probes 408231:408304)  ,chr7:141882707-142207146(probes 408289:408303)  ,chr7:136307036-158821424(probes 406131:414304)  ,2.7e-05,0.0034686,---,---,CNV,,1,49,142,235,62,0.2%,10.0%,29.0%,48.1%,12.7%,3,"PRSS2(0.32),PRSS1(0.30),TRY6(NA),"
chr7,146967978,158821424,Amp,7q36.3  ,chr7:146967978-158821424(probes 410067:414304)  ,chr7:158377694-158465022(probes 414185:414220)  ,chr7:136307036-158821424(probes 406131:414304)  ,0.00015759,0.019701,---,---,,,2,57,173,228,29,0.4%,11.7%,35.4%,46.6%,5.9%,92,"ABCF2(0.69),REPIN1(0.68),ZNF212(0.67),GALNT11(0.64),ZNF746(0.64),CUL1(0.63),FASTK(0.63),ZNF786(0.63),PAXIP1(0.62),ZNF398(0.62),UBE3C(0.62),RHEB(0.62),ZNF282(0.61),NOM1(0.60),TMUB1(0.60),ZNF783(0.59),KRBA1(0.59),DNAJB6(0.58),ACTR3B(0.58),ZNF777(0.58),MLL3(0.57),PRKAG2(0.57),RBM33(0.56),WDR60(0.55),LMBR1(0.54),ABCB8(0.52),NUB1(0.51),CDK5(0.51),PDIA4(0.49),ZNF767(0.49),SLC4A2(0.48),ATP6V0E2(0.46),NCAPG2(0.46),ZNF425(0.44),XRCC2(0.43),LRRC61(0.42),EZH2(0.40),LOC401431(0.36),ZNF775(0.35),INSIG1(0.34),ZNF467(0.33),RNF32(0.32),KCNH2(0.27),RARRES2(0.22),SMARCD3(0.20),ASB10(0.20),ACCN3(0.18),NOS3(0.17),MNX1(0.17),ATG9B(0.16),VIPR2(0.15),CRYGN(0.15),GALNTL5(0.13),WDR86(0.12),HTR5A(0.11),EN2(0.09),DPP6(0.09),SSPO(0.08),CNPY1(0.08),GBX1(0.07),PTPRN2(0.07),SHH|(0.06),ABP1(0.04),CNTNAP2(0.03),GIMAP6(0.01),GIMAP5(0.00),GIMAP2(-0.01),TMEM176A(-0.02),GIMAP8(-0.02),GIMAP1(-0.02),GIMAP4(-0.03),TMEM176B(-0.03),GIMAP7(-0.04),CHPF2(NA),ESYT2(NA),C7orf4(NA),C7orf29(NA),AGAP3(NA),C7orf13(NA),LOC154822(NA),LOC202781(NA),C7orf33(NA),FABP5L3(NA),MIR153-2(NA),ZNF862(NA),ACTR3C(NA),MIR595(NA),LOC728743(NA),MIR671(NA),LOC100128542(NA),LOC100128822(NA),LOC100132707(NA),"
chr7,1,11326655,Del,7p22.3  ,chr7:1-11326655(probes 362320:365540)               ,chr7:1-258292(probes 362320:362343)                   ,chr7:1-18477490(probes 362320:367907)               ,6.66e-11,6.66e-11,7p22.2 [84],7p22.2,,,6,201,169,109,4,1.2%,41.1%,34.6%,22.3%,0.8%,84,"EIF2AK1(0.76),RAC1(0.75),WIPI2(0.74),USP42(0.73),FTSJ2(0.73),RNF216(0.72),ZNF12(0.71),DAGLB(0.71),EIF3B(0.71),HEATR2(0.70),GNA12(0.67),UNC84A(0.67),RNF216L(0.65),KDELR2(0.64),INTS1(0.64),PMS2CL(0.63),MAD1L1(0.62),CHST12(0.61),IQCE(0.60),PHF14(0.58),PSMG3(0.58),FBXL18(0.57),RBAK(0.56),COX19(0.56),KIAA0415(0.56),ZDHHC4(0.55),FOXK1(0.55),NDUFA4(0.54),ICA1(0.54),NUDT1(0.53),ZFAND2A(0.52),C1GALT1(0.50),RPA3(0.49),PRKAR1B(0.49),GLCCI1(0.45),MICALL2(0.43),PMS2(0.42),TTYH3(0.42),SNX8(0.38),GPR146(0.37),TMEM184A(0.36),PDGFA(0.35),SDK1(0.33),KIAA1908(0.32),FSCN1(0.32),ACTB(0.30),MAFK(0.29),LOC389458(0.25),CARD11(0.24),LFNG(0.23),RSPH10B(0.22),GPER(0.20),SLC29A4(0.19),NXPH1(0.15),COL28A1(0.11),AMZ1(0.06),MMD2(0.05),CYP2W1(0.04),UNCX(0.03),PAPOLB(0.01),AIMP2(NA),CYTH3(NA),ADAP1(NA),C7orf20(NA),C7orf28A(NA),MIOS(NA),ZNF853(NA),RADIL(NA),FAM20C(NA),C7orf26(NA),C7orf50(NA),TNRC18(NA),C7orf70(NA),PER4(NA),C7orf27(NA),C7orf28B(NA),TFAMP1(NA),ELFN1(NA),GRID2IP(NA),ZNF815(NA),MIR339(NA),OCM(NA),MIR589(NA),RSPH10B2(NA),"
chr8,128754508,129388953,Amp,8q24.21 ,chr8:128754508-129388953(probes 450696:451026)  ,chr8:128809381-128812187(probes 450710:450710)  ,chr8:100035561-146274826(probes 441986:455953)  ,1.86e-79,3.7e-56,MYC [2],MYC,,,0,21,86,215,167,0.0%,4.3%,17.6%,44.0%,34.2%,2,"MYC^|(0.34),PVT1(NA),"
chr8,144180457,146072839,Amp,8q24.3  ,chr8:144180457-146072839(probes 455274:455923)  ,chr8:145628324-145642435(probes 455755:455757)  ,chr8:100035561-146274826(probes 441986:455953)  ,1.57e-41,4.34e-20,8q24.3 [75],8q24.3   ,,,0,41,86,230,132,0.0%,8.4%,17.6%,47.0%,27.0%,75,"ZNF7(0.73),ZNF623(0.72),SHARPIN(0.68),VPS28(0.67),PUF60(0.67),COMMD5(0.66),HSF1(0.66),GRINA(0.66),DGAT1(0.66),GPAA1(0.65),EXOSC4(0.64),PYCRL(0.63),CYC1(0.63),FAM83H(0.62),GPR172A(0.62),TSTA3(0.62),LRRC14(0.62),ADCK5(0.61),ZNF34(0.61),BOP1(0.61),ZC3H3(0.61),RPL8(0.61),PPP1R16A(0.61),ZNF251(0.61),EEF1D(0.61),CPSF1(0.61),MAF1(0.60),TIGD5(0.60),KIAA1688(0.60),ZNF707(0.58),PLEC1(0.55),NRBP2(0.55),ZNF696(0.54),FBXL6(0.53),SCRIB(0.53),SLC39A4(0.52),MFSD3(0.51),OPLAH(0.49),TOP1MT(0.49),KIFC2(0.47),RECQL4(0.46),NFKBIL2(0.45),NAPRT1(0.45),RHPN1(0.44),C8ORFK29(0.38),ZFP41(0.36),MAPK15(0.35),PARP10(0.35),KIAA1875(0.33),GPT(0.26),MGC70857(0.26),GLI4(0.19),ZNF517(0.15),SCXB(0.08),FOXH1(0.07),SPATC1(0.00),MAFA(-0.01),SCRT1(-0.01),LY6H(-0.03),CYHR1(NA),C8orf30A(NA),C8orf51(NA),GSDMD(NA),EPPK1(NA),BREA2(NA),C8orf31(NA),GPIHBP1(NA),LRRC24(NA),C8orf73(NA),MIR661(NA),HEATR7A(NA),MIR937(NA),MIR939(NA),SCXA(NA),LOC100130274(NA),"
chr8,55315087,55564332,Amp,8q11.23 ,chr8:55315087-55564332(probes 429321:429385)      ,chr8:55390281-55411406(probes 429329:429331)      ,chr8:53554136-63083326(probes 428874:431467)      ,1.26e-08,1.3e-07,SOX17 [1],SOX17,,,0,34,191,229,35,0.0%,7.0%,39.1%,46.8%,7.2%,1,"SOX17(0.16),"
chr8,121118433,121381535,Amp,8q24.12 ,chr8:121118433-121381535(probes 448365:448472)  ,chr8:121190115-121220888(probes 448386:448397)  ,chr8:100035561-146274826(probes 441986:455953)  ,7.78e-35,4.58e-05,DEPDC6 [2],DEPDC6,,,1,33,92,234,129,0.2%,6.7%,18.8%,47.9%,26.4%,2,"DEPDC6(0.35),COL14A1(0.03),"
chr8,41413989,42624653,Amp,8p11.21 ,chr8:41413989-42624653(probes 426711:427171)      ,chr8:41924644-42052625(probes 426951:426960)      ,chr8:41035386-47066830(probes 426629:427355)      ,0.00030058,0.0027455,8p11.21(IKBKB) [15],8p11.21(IKBKB),,,1,99,202,158,29,0.2%,20.2%,41.3%,32.3%,5.9%,15,"MYST3(0.61),VDAC3(0.60),AGPAT6(0.60),AP3M2(0.60),GOLGA7(0.59),IKBKB(0.59),POLB(0.59),SLC20A2(0.50),GINS4(0.45),PLAT(0.16),ANK1(0.13),NKX6-3(0.04),DKK4(0.01),C8orf40(NA),MIR486(NA),"
chr8,100932528,102559834,Amp,8q22.2  ,chr8:100932528-102559834(probes 442375:442924)  ,chr8:101563413-101580765(probes 442626:442630)  ,chr8:100035561-146274826(probes 441986:455953)  ,2.59e-05,0.17888,---,---,,,0,52,127,240,70,0.0%,10.6%,26.0%,49.1%,14.3%,13,"ZNF706(0.72),YWHAZ|(0.71),COX6C(0.68),VPS13B(0.66),POLR2K(0.66),RNF19A(0.63),PABPC1(0.60),ANKRD46(0.52),SPAG1(0.40),FBXO43(0.12),RGS22(0.04),NACAP1(-0.10),SNX31(NA),"
chr8,1,1980242,Del,8p23.3  ,chr8:1-1980242(probes 414305:414794)                 ,chr8:1-656034(probes 414305:414327)                   ,chr8:1-12630783(probes 414305:417672)               ,1.09e-14,1.09e-14,8p23.3 [11],8p23.3 ,,,43,292,103,47,4,8.8%,59.7%,21.1%,9.6%,0.8%,11,"ERICH1(0.69),FBXO25(0.64),CLN8(0.62),ARHGEF10(0.62),ZNF596(0.52),KBTBD11(0.22),DLGAP2(0.01),OR4F21(-0.04),C8orf42(NA),RPL23AP53(NA),MIR596(NA),"
chr8,24626766,27130684,Del,8p21.2  ,chr8:24626766-27130684(probes 421456:422303)      ,chr8:26165916-26284094(probes 421993:422005)      ,chr8:18316451-35174728(probes 419446:424927)      ,3.48e-09,3.48e-09,8p21.2 [12],8p21.2,,,34,308,106,40,1,7.0%,63.0%,21.7%,8.2%,0.2%,12,"PPP2R2A(0.61),KCTD9(0.59),BNIP3L(0.51),GNRH1(0.50),CDCA2(0.39),DPYSL2(0.32),DOCK5(0.28),PNMA2(0.27),EBF2(0.12),NEFL(0.12),ADRA1A(0.11),NEFM(0.06),"
