chrom	start	end	Gene
chr11	66478013	66480212	DPP3
chr11	66480097	66482296	DPP3
chr11	66507079	66509278	DPP3
chr11	66507079	66509278	BBS1
chr11	66544395	66546594	ZDHHC24
chr11	66546036	66548235	ZDHHC24
chr11	66544395	66546594	ACTN3
chr11	66546036	66548235	ACTN3
chr11	66614626	66616825	RBM14-RBM4
chr11	66614626	66616825	RBM14-RBM4
chr11	66636667	66638866	RBM14-RBM4
chr11	66973277	66975476	C11orf86
chr11	67004778	67006977	SYT12
chr11	67043643	67045842	SYT12
chr11	67373385	67375584	POLD4
chr11	67373978	67376177	LOC100130987
chr11	67389705	67391904	LOC100130987
chr11	67401915	67404114	PPP1CA
chr11	67413361	67415560	PPP1CA
chr11	67420984	67423183	PPP1CA
chr11	67401915	67404114	TBC1D10C
chr11	67420984	67423183	CARNS1
chr11	67437483	67439682	CORO1B
chr11	67443622	67445821	CORO1B
chr11	67450406	67452605	GPR152
chr11	67452530	67454729	GPR152
chr11	67450406	67452605	CABP4
chr11	67452530	67454729	CABP4
chr11	67524318	67526517	CABP2
chr11	67629738	67631937	NUDT8
chr11	68006578	68008777	ALDH3B1
chr11	68028617	68030816	ALDH3B1
chr11	69046932	69049131	TPCN2
chr11	69070915	69073114	TPCN2
chr11	69081176	69083375	TPCN2
chr11	69292151	69294350	MYEOV
chr11	69297274	69299473	MYEOV
chr11	69675217	69677416	LTO1
chr11	71876453	71878652	XNDC1N
chr11	71876453	71878652	DEFB131B
chr11	71996613	71998812	IL18BP
chr11	72012291	72014490	NUMA1
chr11	72072103	72074302	NUMA1
chr11	72078331	72080530	NUMA1
chr11	72078337	72080536	NUMA1
chr11	72080494	72082693	NUMA1
chr11	72078331	72080530	LRTOMT
chr11	72078337	72080536	LRTOMT
chr11	72080494	72082693	LRTOMT
chr11	72103098	72105297	LRTOMT
chr11	72103924	72106123	LRTOMT
chr11	72103098	72105297	LAMTOR1
chr11	72112581	72114780	ANAPC15
chr11	72112869	72115068	FOLR3
chr11	72187558	72189757	FOLR1
chr11	72214601	72216800	FOLR2
chr11	72221701	72223900	FOLR2
chr11	72698474	72700673	ARAP1
chr11	72781530	72783729	ARAP1
chr11	72793400	72795599	ARAP1
chr11	72812406	72814605	ATG16L2
chr11	72813855	72816054	ATG16L2
chr11	73216281	73218480	P2RY2
chr11	73218024	73220223	P2RY2
chr11	73597990	73600189	FAM168A
chr11	73760938	73763137	RAB6A
chr11	74491851	74494050	POLD3
chr11	74493525	74495724	POLD3
chr11	74929724	74931923	XRRA1
chr11	74947261	74949460	XRRA1
chr11	74949001	74951200	XRRA1
chr11	75098563	75100762	SLCO2B1
chr11	75139949	75142148	SLCO2B1
chr11	75397515	75399714	RPS3
chr11	75398391	75400590	RPS3
chr11	75402421	75404620	RPS3
chr11	75560056	75562255	SERPINH1
chr11	75757512	75759711	DGAT2
chr11	75768448	75770647	DGAT2
chr11	76379303	76381502	GVQW3
chr11	76380933	76383132	GVQW3
chr11	76442923	76445122	EMSY
chr11	76444491	76446690	EMSY
chr11	76670548	76672747	LRRC32
chr11	76780251	76782450	TSKU
chr11	76782863	76785062	TSKU
chr11	77032398	77034597	B3GNT6
chr11	77819109	77821308	AAMDC
chr11	77872063	77874262	AAMDC
chr11	78020933	78023132	KCTD14
chr11	78045992	78048191	KCTD14
chr11	78020933	78023132	NDUFC2-KCTD14
chr11	78045992	78048191	NDUFC2-KCTD14
chr11	78061861	78064060	NDUFC2-KCTD14
chr11	78079663	78081862	NDUFC2-KCTD14
chr11	78079666	78081865	NDUFC2-KCTD14
chr11	78061861	78064060	THRSP
chr11	82897975	82900174	PRCP
chr11	82970385	82972584	PRCP
chr11	83041399	83043598	RAB30
chr11	83070052	83072251	RAB30
chr11	83071724	83073923	RAB30
chr11	83154988	83157187	PCF11
chr11	83186837	83189036	PCF11
chr11	83191712	83193911	ANKRD42
chr11	83193595	83195794	ANKRD42
chr11	85626573	85628772	TMEM126B
chr11	85628136	85630335	TMEM126B
chr11	85645967	85648166	TMEM126A
chr11	85682709	85684908	CREBZF
chr11	85810960	85813159	SYTL2
chr11	85853101	85855300	CCDC83
chr11	86372736	86374935	CCDC81
chr11	86857748	86859947	PRSS23
chr11	86921905	86924104	PRSS23
chr11	86924838	86927037	PRSS23
chr11	87035844	87038043	TMEM135
chr11	88502576	88504775	GRM5
chr11	89708299	89710498	TRIM77
chr11	89808376	89810575	TRIM49
chr11	89922046	89924245	TRIM49D2
chr11	89922064	89924263	TRIM49D2
chr11	90029106	90031305	TRIM49C
chr11	90083950	90086149	UBTFL1
chr11	92967651	92969850	MTNR1B
chr11	93739591	93741790	TAF1D
chr11	93739664	93741863	TAF1D
chr11	93784192	93786391	TAF1D
chr11	93739591	93741790	C11orf54
chr11	93739664	93741863	C11orf54
chr11	93739591	93741790	MED17
chr11	93739664	93741863	MED17
chr11	93784192	93786391	MED17
chr11	95023258	95025457	KDM4E
chr11	101913010	101915209	ANGPTL5
chr11	101916323	101918522	ANGPTL5
chr11	102315450	102317649	BIRC3
chr11	102328387	102330586	BIRC3
chr11	104034640	104036839	PDGFD
chr11	104164180	104166379	PDGFD
chr11	105022969	105025168	CASP5
chr11	105035051	105037250	CASP1
chr11	105071342	105073541	CARD16
chr11	105101232	105103431	CARD16
chr11	105101232	105103431	CARD16
chr11	106073501	106075700	KBTBD3
chr11	106077260	106079459	KBTBD3
chr11	107719494	107721693	SLN
chr11	107926448	107928647	SLC35F2
chr11	107928094	107930293	SLC35F2
chr11	108467332	108469531	C11orf65
chr11	110296513	110298712	RDX
chr11	110712990	110715189	ARHGAP20
chr11	111417987	111420186	POU2AF1
chr11	111446450	111448649	POU2AF1
chr11	111449782	111451981	POU2AF1
chr11	111508600	111510799	BTG4
chr11	111510938	111513137	BTG4
chr11	111511439	111513638	BTG4
chr11	111512778	111514977	HOATZ
chr11	111514168	111516367	HOATZ
chr11	111766190	111768389	PPP2R1B
chr11	111876935	111879134	ALG9
chr11	111879226	111881425	ALG9
chr11	111876935	111879134	FDXACB1
chr11	111879226	111881425	FDXACB1
chr11	111881044	111883243	FDXACB1
chr11	111910734	111912933	CRYAB
chr11	111910742	111912941	CRYAB
chr11	111916913	111919112	CRYAB
chr11	111923523	111925722	CRYAB
chr11	112074075	112076274	NKAPD1
chr11	112084824	112087023	NKAPD1
chr11	112084903	112087102	NKAPD1
chr11	112224367	112226566	BCO2
chr11	112959247	112961446	NCAM1
chr11	112963261	112965460	NCAM1
chr11	113273833	113276032	NCAM1
chr11	113314283	113316482	TTC12
chr11	113875373	113877572	USP28
chr11	114255787	114257986	NNMT
chr11	114396020	114398219	C11orf71
chr11	114398030	114400229	C11orf71
chr11	114400312	114402511	C11orf71
chr11	114400312	114402511	RBM7
chr11	114525129	114527328	NXPE1
chr11	114559682	114561881	NXPE1
chr11	114595587	114597786	NXPE4
chr11	115331577	115333776	CADM1
chr11	115394756	115396955	CADM1
chr11	116787840	116790039	APOA5
chr11	116792221	116794420	APOA5
chr11	117142284	117144483	PAFAH1B2
chr11	117176736	117178935	PAFAH1B2
chr11	117197370	117199569	TAGLN
chr11	117817326	117819525	FXYD2
chr11	117828499	117830698	FXYD6-FXYD2
chr11	117831719	117833918	FXYD6-FXYD2
chr11	117876468	117878667	FXYD6-FXYD2
chr11	117876468	117878667	FXYD6
chr11	117877287	117879486	FXYD6
chr11	117929260	117931459	TMPRSS13
chr11	118075012	118077211	SMIM35
chr11	118088100	118090299	SMIM35
chr11	118075012	118077211	TMPRSS4
chr11	118088100	118090299	TMPRSS4
chr11	118529041	118531240	TMEM25
chr11	118530895	118533094	TMEM25
chr11	118570390	118572589	ARCN1
chr11	118572771	118574970	ARCN1
chr11	118604440	118606639	PHLDB1
chr11	118642000	118644199	PHLDB1
chr11	118908708	118910907	BCL9L
chr11	118923164	118925363	BCL9L
chr11	119095266	119097465	DPAGT1
chr11	119100198	119102397	DPAGT1
chr11	119108132	119110331	DPAGT1
chr11	119108132	119110331	C2CD2L
chr11	119183457	119185656	NHERF4
chr11	119196570	119198769	CCDC153
chr11	119204298	119206497	CBL
chr11	119312813	119315012	CBL
chr11	119707920	119710119	NECTIN1
chr11	119727583	119729782	NECTIN1
chr11	120137915	120140114	LOC124902773
chr11	120166977	120169176	LOC124902773
chr11	120185224	120187423	LOC124902773
chr11	120234640	120236839	POU2F3
chr11	120265733	120267932	POU2F3
chr11	121022072	121024271	TBCEL
chr11	121022125	121024324	TBCEL
chr11	123356428	123358627	GRAMD1B
chr11	123381313	123383512	GRAMD1B
chr11	123741476	123743675	ZNF202
chr11	124671844	124674043	SPA17
chr11	124695508	124697707	SPA17
chr11	124752056	124754255	ESAM
chr11	124757129	124759328	ESAM
chr11	124762091	124764290	ESAM
chr11	124798424	124800623	MSANTD2
chr11	124800507	124802706	MSANTD2
chr11	125111564	125113763	TMEM218
chr11	125625714	125627913	CHEK1
chr11	125881614	125883813	HYLS1
chr11	126063136	126065335	CDON
chr11	128520390	128522589	ETS1
chr11	128524142	128526341	ETS1
chr11	128587359	128589558	ETS1
chr11	128684535	128686734	FLI1
chr11	128686234	128688433	FLI1
chr11	128686723	128688922	FLI1
chr11	128695824	128698023	FLI1
chr11	128867174	128869373	KCNJ1
chr11	130000938	130003137	PRDM10
chr11	130002636	130004835	PRDM10
chr11	130312993	130315192	ZBTB44
chr11	131368478	131370677	NTM
chr11	131540668	131542867	NTM
chr11	131663408	131665607	NTM
chr11	131896909	131899108	NTM
chr11	132282302	132284501	NTM
chr11	134251548	134253747	THYN1
chr11	134253171	134255370	THYN1
chr11	134410284	134412483	B3GAT1
chr12	201642	203841	SLC6A12
chr12	257100	259299	SLC6A13
chr12	262674	264873	SLC6A13
chr12	387273	389472	CCDC77
chr12	389121	391320	CCDC77
chr12	750579	752778	WNK1
chr12	988509	990708	RAD52
chr12	1527891	1530090	WNT5B
chr12	1594382	1596581	WNT5B
chr12	2856840	2859039	FOXM1
chr12	2874258	2876457	FOXM1
chr12	2875223	2877422	FOXM1
chr12	2876975	2879174	FOXM1
chr12	2875223	2877422	RHNO1
chr12	2876975	2879174	RHNO1
chr12	2883819	2886018	RHNO1
chr12	3075355	3077554	TSPAN9
chr12	3379349	3381548	PRMT8
chr12	3461246	3463445	PRMT8
chr12	3492620	3494819	PRMT8
chr12	3869579	3871778	PARP11
chr12	3873249	3875448	PARP11
chr12	4648852	4651051	AKAP3
chr12	4807334	4809533	GALNT8
chr12	5946033	5948232	ANO2
chr12	6308436	6310635	PLEKHG6
chr12	6373045	6375244	SCNN1A
chr12	6377531	6379730	LTBR
chr12	6491356	6493555	MRPL51
chr12	6493642	6495841	MRPL51
chr12	6555874	6558073	NOP2
chr12	6689373	6691572	ZNF384
chr12	6700616	6702815	PIANP
chr12	6763516	6765715	MLF2
chr12	6767276	6769475	MLF2
chr12	6850148	6852347	CDCA3
chr12	6851093	6853292	CDCA3
chr12	6865119	6867318	TPI1
chr12	6871569	6873768	SPSB2
chr12	6881996	6884195	SPSB2
chr12	6882088	6884287	SPSB2
chr12	6871569	6873768	LRRC23
chr12	6881996	6884195	LRRC23
chr12	6882088	6884287	LRRC23
chr12	6882682	6884881	LRRC23
chr12	6889159	6891358	LRRC23
chr12	6922463	6924662	ENO2
chr12	6922463	6924662	ATN1
chr12	6940978	6943177	ATN1
chr12	6941816	6944015	ATN1
chr12	6941816	6944015	C12orf57
chr12	6944468	6946667	C12orf57
chr12	6944468	6946667	PTPN6
chr12	6961226	6963425	PTPN6
chr12	6986259	6988458	C1S
chr12	7018278	7020477	C1S
chr12	7188870	7191069	PEX5
chr12	7479698	7481897	CD163
chr12	7503694	7505893	CD163
chr12	7751406	7753605	CLEC4C
chr12	7763216	7765415	NANOGNB
chr12	7890949	7893148	SLC2A14
chr12	8074939	8077138	NECAP1
chr12	8094207	8096406	NECAP1
chr12	8507475	8509674	CLEC4D
chr12	8948044	8950243	KLRG1
chr12	8949562	8951761	KLRG1
chr12	9733100	9735299	CLECL1P
chr12	9760702	9762901	CD69
chr12	9825481	9827680	KLRF1
chr12	9879489	9881688	KLRF2
chr12	9932171	9934370	CLEC2A
chr12	9949316	9951515	CLEC12A
chr12	9953137	9955336	CLEC12A
chr12	10008627	10010826	CLEC1B
chr12	10013225	10015424	CLEC1B
chr12	10130059	10132258	CLEC7A
chr12	10168542	10170741	TMEM52B
chr12	10171939	10174138	TMEM52B
chr12	10224058	10226257	KLRD1
chr12	10291085	10293284	KLRD1
chr12	10435802	10438001	KLRC3
chr12	10435802	10438001	KLRC2
chr12	10442101	10444300	KLRC2
chr12	10442101	10444300	KLRC1
chr12	10454486	10456685	KLRC1
chr12	10503602	10505801	EIF2S3B
chr12	10723124	10725323	YBX3
chr12	12683498	12685697	GPR19
chr12	12696008	12698207	GPR19
chr12	12723917	12726116	APOLD1
chr12	12723929	12726128	APOLD1
chr12	12762649	12764848	APOLD1
chr12	13103484	13105683	FAM234B
chr12	13103484	13105683	GSG1
chr12	14803287	14805486	SMCO3
chr12	14813983	14816182	SMCO3
chr12	15149923	15152122	LOC105369673
chr12	15221218	15223417	LOC105369673
chr12	15320257	15322456	LOC105369673
chr12	15348476	15350675	LOC105369673
chr12	15828075	15830274	EPS8
chr12	15880387	15882586	EPS8
chr12	15882130	15884329	EPS8
chr12	16277486	16279685	SLC15A5
chr12	16610395	16612594	LMO3
chr12	20813674	20815873	LOC124902894
chr12	20813674	20815873	LOC124902894
chr12	21045179	21047378	LOC124902894
chr12	21352959	21355158	SLCO1A2
chr12	21352959	21355158	IAPP
chr12	21657599	21659798	LDHB
chr12	21660313	21662512	LDHB
chr12	21757632	21759831	LDHB
chr12	21757658	21759857	LDHB
chr12	22544347	22546546	C2CD5
chr12	25002342	25004541	IRAG2
chr12	25006204	25008403	IRAG2
chr12	25193216	25195415	DNAI7
chr12	25194963	25197162	DNAI7
chr12	25648380	25650579	LMNTD1
chr12	25959566	25961765	RASSF8
chr12	26119991	26122190	SSPN
chr12	26120052	26122251	SSPN
chr12	26124838	26127037	SSPN
chr12	27020546	27022745	MED21
chr12	27330836	27333035	BMAL2
chr12	27694447	27696646	PPFIBP1
chr12	28190539	28192738	CCDC91
chr12	29497487	29499686	OVCH1
chr12	29517731	29519930	TMTC1
chr12	29784560	29786759	TMTC1
chr12	30753074	30755273	CAPRIN2
chr12	30753167	30755366	CAPRIN2
chr12	31071860	31074059	DDX11
chr12	31073648	31075847	DDX11
chr12	31645160	31647359	ETFBKMT
chr12	31651896	31654095	ETFBKMT
chr12	33439620	33441819	SYT10
chr12	34020468	34022667	ALG10
chr12	38904451	38906650	CPNE8
chr12	38907231	38909430	CPNE8
chr12	39443191	39445390	KIF21A
chr12	39624167	39626366	C12orf40
chr12	42236447	42238646	YAF2
chr12	42238150	42240349	YAF2
chr12	42236447	42238646	PPHLN1
chr12	42238150	42240349	PPHLN1
chr12	42323660	42325859	PPHLN1
chr12	42326058	42328257	PPHLN1
chr12	43833967	43836166	TMEM117
chr12	45050900	45053099	DBX2
chr12	45213987	45216186	ANO6
chr12	45215848	45218047	ANO6
chr12	47077603	47079802	AMIGO2
chr12	47079760	47081959	AMIGO2
chr12	47077603	47079802	PCED1B
chr12	47079760	47081959	PCED1B
chr12	47185812	47188011	PCED1B
chr12	47216288	47218487	PCED1B
chr12	47725368	47727567	ENDOU
chr12	47751916	47754115	RAPGEF3
chr12	47770841	47773040	RAPGEF3
chr12	47751916	47754115	SLC48A1
chr12	47770841	47773040	SLC48A1
chr12	47942849	47945048	VDR
chr12	47961569	47963768	TMEM106C
chr12	48083062	48085261	SENP1
chr12	48103139	48105338	SENP1
chr12	48181014	48183213	ASB8
chr12	48326980	48329179	H1-7
chr12	48569867	48572066	LALBA
chr12	48654319	48656518	KANSL2
chr12	48654331	48656530	KANSL2
chr12	48656583	48658782	KANSL2
chr12	48667394	48669593	KANSL2
chr12	48682039	48684238	KANSL2
chr12	48716799	48718998	CCNT1
chr12	48771838	48774037	ADCY6
chr12	48787147	48789346	ADCY6
chr12	48788890	48791089	ADCY6
chr12	48902110	48904309	ARF3
chr12	48939464	48941663	ARF3
chr12	48957288	48959487	ARF3
chr12	48902110	48904309	CCDC65
chr12	48939464	48941663	FKBP11
chr12	49128978	49131177	TUBA1B
chr12	49131198	49133397	TUBA1B
chr12	49387516	49389715	SPATS2
chr12	49566372	49568571	MCRS1
chr12	49567946	49570145	MCRS1
chr12	49566372	49568571	PRPF40B
chr12	49567946	49570145	PRPF40B
chr12	49605440	49607639	PRPF40B
chr12	49605440	49607639	FAM186B
chr12	49705725	49707924	LOC124902929
chr12	49707966	49710165	LOC124902929
chr12	49736993	49739192	LOC124902929
chr12	49965194	49967393	AQP6
chr12	50055548	50057747	ASIC1
chr12	50083200	50085399	ASIC1
chr12	50167334	50169533	CERS5
chr12	50390383	50392582	FAM186A
chr12	50396423	50398622	FAM186A
chr12	50840920	50843119	TMPRSS12
chr12	50921472	50923671	TMT1A
chr12	51236724	51238923	DAZAP2
chr12	51270216	51272415	DAZAP2
chr12	51324469	51326668	BIN2
chr12	51389317	51391516	SLC4A8
chr12	51392668	51394867	SLC4A8
chr12	51424412	51426611	SLC4A8
chr12	52020832	52023031	NR4A1
chr12	52059304	52061503	NR4A1
chr12	52191815	52194014	KRT80
chr12	52247249	52249448	KRT86
chr12	52247300	52249499	KRT86
chr12	52258668	52260867	KRT86
chr12	52321199	52323398	KRT83
chr12	52367282	52369481	KRT85
chr12	52385453	52387652	KRT84
chr12	52573644	52575843	KRT74
chr12	52618360	52620559	KRT73
chr12	52680208	52682407	KRT1
chr12	52777146	52779345	KRT76
chr12	52795918	52798117	KRT3
chr12	52946871	52949070	KRT8
chr12	52949755	52951954	KRT8
chr12	52946871	52949070	KRT18
chr12	52949755	52951954	KRT18
chr12	53044969	53047168	TNS2
chr12	53054251	53056450	TNS2
chr12	53054944	53057143	TNS2
chr12	53095436	53097635	IGFBP6
chr12	53101486	53103685	IGFBP6
chr12	53178704	53180903	CSAD
chr12	53293291	53295490	PFDN5
chr12	53293492	53295691	PFDN5
chr12	53324665	53326864	AAAS
chr12	53345116	53347315	SP7
chr12	53462468	53464667	PCBP2
chr12	53498921	53501120	MAP3K12
chr12	53507285	53509484	ATF7-NPFF
chr12	53511891	53514090	ATF7-NPFF
chr12	53529752	53531951	ATF7-NPFF
chr12	53507285	53509484	ATF7
chr12	53511891	53514090	ATF7
chr12	53529752	53531951	ATF7
chr12	53626164	53628363	ATF7
chr12	53626211	53628410	ATF7
chr12	53677209	53679408	ATP5MC2
chr12	53727546	53729745	CALCOCO1
chr12	53971126	53973325	HOXC11
chr12	53974757	53976956	HOXC11
chr12	53983845	53986044	HOXC5
chr12	53985320	53987519	HOXC5
chr12	53988624	53990823	HOXC5
chr12	53989738	53991937	HOXC5
chr12	53992895	53995094	HOXC5
chr12	53996586	53998785	HOXC5
chr12	53999811	54002010	HOXC5
chr12	54006985	54009184	HOXC5
chr12	54014931	54017130	HOXC5
chr12	54031950	54034149	HOXC5
chr12	53988624	53990823	HOXC6
chr12	53989738	53991937	HOXC6
chr12	53992895	53995094	HOXC6
chr12	53996586	53998785	HOXC6
chr12	53999811	54002010	HOXC6
chr12	54006985	54009184	HOXC6
chr12	54014931	54017130	HOXC6
chr12	53996586	53998785	HOXC9
chr12	53999811	54002010	HOXC9
chr12	54014931	54017130	HOXC4
chr12	54031950	54034149	HOXC4
chr12	54188809	54191008	SMUG1
chr12	54278193	54280392	HNRNPA1
chr12	54279934	54282133	HNRNPA1
chr12	54299202	54301401	COPZ1
chr12	54300816	54303015	COPZ1
chr12	54335216	54337415	COPZ1
chr12	54391099	54393298	ZNF385A
chr12	54588460	54590659	PPP1R1A
chr12	55714036	55716235	BLOC1S1-RDH5
chr12	55714038	55716237	BLOC1S1-RDH5
chr12	55716205	55718404	BLOC1S1-RDH5
chr12	55718367	55720566	BLOC1S1-RDH5
chr12	55714036	55716235	BLOC1S1
chr12	55714038	55716237	BLOC1S1
chr12	55716205	55718404	BLOC1S1
chr12	55718367	55720566	BLOC1S1
chr12	55727094	55729293	CD63
chr12	55729508	55731707	CD63
chr12	55816041	55818240	DNAJC14
chr12	55817525	55819724	DNAJC14
chr12	55827608	55829807	DNAJC14
chr12	55830625	55832824	DNAJC14
chr12	55925319	55927518	PYM1
chr12	55927676	55929875	PYM1
chr12	55932419	55934618	PYM1
chr12	55964781	55966980	PMEL
chr12	55971913	55974112	PMEL
chr12	55973118	55975317	PMEL
chr12	55995180	55997379	SUOX
chr12	56005659	56007858	IKZF4
chr12	56150256	56152455	MYL6B
chr12	56156346	56158545	MYL6B
chr12	56156346	56158545	MYL6
chr12	56189368	56191567	SMARCC2
chr12	56220015	56222214	NABP2
chr12	56221734	56223933	NABP2
chr12	56228049	56230248	NABP2
chr12	56298075	56300274	CNPY2
chr12	56300192	56302391	CNPY2
chr12	56315920	56318119	CNPY2
chr12	56315920	56318119	PAN2
chr12	56332174	56334373	PAN2
chr12	56333854	56336053	PAN2
chr12	56487971	56490170	GLS2
chr12	56488215	56490414	GLS2
chr12	56688209	56690408	PTGES3
chr12	56731429	56733628	NACA
chr12	56750161	56752360	HSD17B6
chr12	56752175	56754374	HSD17B6
chr12	57028684	57030883	TAC3
chr12	57028684	57030883	MYO1A
chr12	57126483	57128682	STAT6
chr12	57240516	57242715	NDUFA4L2
chr12	57430844	57433043	R3HDM2
chr12	57462619	57464818	GLI1
chr12	57518710	57520909	DDIT3
chr12	57519060	57521259	DDIT3
chr12	57589174	57591373	PIP4K2C
chr12	57602622	57604821	PIP4K2C
chr12	57602622	57604821	DTX3
chr12	57608180	57610379	DTX3
chr12	57608180	57610379	ARHGEF25
chr12	57613280	57615479	ARHGEF25
chr12	57736013	57738212	AGAP2
chr12	57741958	57744157	AGAP2
chr12	57748483	57750682	TSPAN31
chr12	57753103	57755302	CDK4
chr12	57755814	57758013	CDK4
chr12	57770660	57772859	EEF1AKMT3
chr12	57771920	57774119	EEF1AKMT3
chr12	57771920	57774119	TSFM
chr12	59594029	59596228	SLC16A7
chr12	62258338	62260537	TAFA2
chr12	62258359	62260558	TAFA2
chr12	62258338	62260537	USP15
chr12	62258359	62260558	USP15
chr12	62278951	62281150	USP15
chr12	64220333	64222532	KICS2
chr12	64222097	64224296	KICS2
chr12	64355666	64357865	C12orf56
chr12	64390559	64392758	C12orf56
chr12	64505001	64507200	RASSF3
chr12	64533439	64535638	RASSF3
chr12	64573665	64575864	RASSF3
chr12	64609260	64611459	RASSF3
chr12	64620509	64622708	RASSF3
chr12	64622406	64624605	RASSF3
chr12	65276643	65278842	MSRB3
chr12	68332182	68334381	MDM1
chr12	69468349	69470548	FRS2
chr12	69699277	69701476	BEST3
chr12	69738375	69740574	RAB3IP
chr12	69799669	69801868	RAB3IP
chr12	71315557	71317756	TSPAN8
chr12	71437798	71439997	TSPAN8
chr12	71441699	71443898	TSPAN8
chr12	71837707	71839906	TBC1D15
chr12	71850229	71852428	TBC1D15
chr12	75332670	75334869	CAPS2
chr12	75389089	75391288	CAPS2
chr12	75390711	75392910	CAPS2
chr12	75390729	75392928	CAPS2
chr12	75332670	75334869	GLIPR1L1
chr12	77322641	77324840	NAV3
chr12	77377770	77379969	NAV3
chr12	79821778	79823977	PPP1R12A
chr12	79932901	79935100	PPP1R12A
chr12	79935261	79937460	PPP1R12A
chr12	80935634	80937833	ACSS3
chr12	80935815	80938014	ACSS3
chr12	80937735	80939934	ACSS3
chr12	81125664	81127863	ACSS3
chr12	82356528	82358727	CCDC59
chr12	89522594	89524793	POC1B-GALNT4
chr12	89524597	89526796	POC1B-GALNT4
chr12	89525848	89528047	POC1B-GALNT4
chr12	89526063	89528262	POC1B-GALNT4
chr12	90954977	90957176	CCER1
chr12	92427949	92430148	CLLU1
chr12	92700843	92703042	PLEKHG7
chr12	93375883	93378082	NUDT4
chr12	93377554	93379753	NUDT4
chr12	93675375	93677574	CRADD
chr12	93737624	93739823	CRADD
chr12	95856952	95859151	SNRPF
chr12	95858640	95860839	SNRPF
chr12	96043321	96045520	LTA4H
chr12	98591591	98593790	SLC25A3
chr12	98597635	98599834	SLC25A3
chr12	98643290	98645489	IKBIP
chr12	98644914	98647113	IKBIP
chr12	98643290	98645489	APAF1
chr12	98644914	98647113	APAF1
chr12	99091359	99093558	ANKS1B
chr12	99645753	99647952	ANKS1B
chr12	100265140	100267339	DEPDC4
chr12	100266880	100269079	DEPDC4
chr12	100471708	100473907	NR1H4
chr12	101659771	101661970	MYBPC1
chr12	101739273	101741472	SYCP3
chr12	101962215	101964414	DRAM1
chr12	102950669	102952868	PAH
chr12	102955674	102957873	PAH
chr12	102958211	102960410	PAH
chr12	103963822	103966021	UQCC6
chr12	103965509	103967708	UQCC6
chr12	104062531	104064730	GLT8D2
chr12	104063984	104066183	GLT8D2
chr12	104301739	104303938	EID3
chr12	104454948	104457147	CHST11
chr12	104589633	104591832	CHST11
chr12	104984316	104986515	NOPCHAP1
chr12	106299929	106302128	CKAP4
chr12	106304080	106306279	CKAP4
chr12	106953719	106955918	TMEM263
chr12	108339118	108341317	CMKLR1
chr12	108856932	108859131	DAO
chr12	108857391	108859590	DAO
chr12	109021089	109023288	USP30
chr12	109053787	109055986	USP30
chr12	109093432	109095631	ALKBH2
chr12	109309085	109311284	FOXN4
chr12	109475402	109477601	UBE3B
chr12	109477160	109479359	UBE3B
chr12	110122335	110124534	IFT81
chr12	110466415	110468614	GPN3
chr12	110501912	110504111	RAD9B
chr12	110612027	110614226	TCTN1
chr12	111367261	111369460	PHETA1
chr12	111368922	111371121	PHETA1
chr12	111684053	111686252	ACAD10
chr12	111685757	111687956	ACAD10
chr12	111751890	111754089	ACAD10
chr12	112011348	112013547	TMEM116
chr12	112012967	112015166	TMEM116
chr12	112163122	112165321	HECTD4
chr12	112382240	112384439	HECTD4
chr12	112416907	112419106	RPL6
chr12	112418639	112420838	RPL6
chr12	112694977	112697176	RPH3A
chr12	112976395	112978594	OAS2
chr12	113136040	113138239	RASAL1
chr12	113158978	113161177	DDX54
chr12	113183526	113185725	DDX54
chr12	113185280	113187479	DDX54
chr12	113219050	113221249	IQCD
chr12	113220895	113223094	IQCD
chr12	113356566	113358765	SLC8B1
chr12	113359267	113361466	SLC8B1
chr12	113359294	113361493	SLC8B1
chr12	113420380	113422579	SDS
chr12	113426102	113428301	SDS
chr12	113861402	113863601	RBM19
chr12	113966126	113968325	RBM19
chr12	114406131	114408330	TBX5
chr12	114408243	114410442	TBX5
chr12	116736178	116738377	RNFT2
chr12	116737871	116740070	RNFT2
chr12	116881242	116883441	HRK
chr12	116908950	116911149	FBXW8
chr12	116987138	116989337	FBXW8
chr12	119177590	119179789	LOC105370026
chr12	119183060	119185259	LOC105370026
chr12	120216070	120218269	PXN
chr12	120265572	120267771	PXN
chr12	120300316	120302515	SIRT4
chr12	120436090	120438289	GATC
chr12	120436198	120438397	GATC
chr12	120446185	120448384	GATC
chr12	120467850	120470049	DYNLL1
chr12	120495747	120497946	DYNLL1
chr12	120495755	120497954	DYNLL1
chr12	120581203	120583402	POP5
chr12	121016303	121018502	C12orf43
chr12	121298109	121300308	CAMKK2
chr12	121398083	121400282	ANAPC5
chr12	121399697	121401896	ANAPC5
chr12	121398083	121400282	RNF34
chr12	121399697	121401896	RNF34
chr12	121444153	121446352	KDM2B
chr12	121578792	121580991	KDM2B
chr12	121580824	121583023	KDM2B
chr12	121800478	121802677	LINC01089
chr12	121802009	121804208	LINC01089
chr12	121802009	121804208	SETD1B
chr12	121803707	121805906	SETD1B
chr12	121854259	121856458	HPD
chr12	121863397	121865596	HPD
chr12	122017422	122019621	BCL7A
chr12	122165738	122167937	LRRC43
chr12	122174022	122176221	LRRC43
chr12	122201681	122203880	B3GNT4
chr12	122393542	122395741	CLIP1
